attr_o,sinc_o,shar_o,gender,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha
8,10,4,0,25,20,25,20,10,0
8,5,1,0,25,35,30,10,0,0
7,6,4,0,25,15,25,25,15,15
7,6,6,0,25,15,25,15,0,20
10,8,8,0,20,35,20,10,10,5
6,7,2,0,20,20,25,25,5,5
9,8,5,0,20,20,20,20,5,15
6,4,2,0,25,10,35,15,0,15
8,7,6,0,15,20,15,30,5,15
9,8,7,0,40,15,20,10,5,10
8,9,5,0,40,20,20,20,0,0
8,9,8,0,20,25,25,10,10,10
8,9,4,0,25,20,25,20,10,0
6,5,2,0,25,35,30,10,0,0
8,7,7,0,25,15,25,25,15,15
7,6,7,0,25,15,25,15,0,20
10,9,8,0,20,35,20,10,10,5
5,6,6,0,20,20,25,25,5,5
9,8,8,0,20,20,20,20,5,15
7,3,2,0,25,10,35,15,0,15
8,7,6,0,15,20,15,30,5,15
9,9,8,0,40,15,20,10,5,10
8,8,6,0,40,20,20,20,0,0
8,9,8,0,20,25,25,10,10,10
9,8,5,0,25,20,25,20,10,0
7,6,5,0,25,35,30,10,0,0
9,7,5,0,25,15,25,25,15,15
8,8,7,0,25,15,25,15,0,20
9,8,9,0,20,35,20,10,10,5
7,5,5,0,20,20,25,25,5,5
8,8,0,0,20,20,20,20,5,15
8,4,3,0,25,10,35,15,0,15
8,7,7,0,15,20,15,30,5,15
8,8,7,0,40,15,20,10,5,10
9,9,7,0,40,20,20,20,0,0
9,8,8,0,20,25,25,10,10,10
5,6,3,0,25,20,25,20,10,0
4,4,5,0,25,35,30,10,0,0
7,6,5,0,25,15,25,25,15,15
8,8,6,0,25,15,25,15,0,20
6,7,7,0,20,35,20,10,10,5
5,6,2,0,20,20,25,25,5,5
6,8,3,0,30,15,25,25,5,0
7,8,5,0,20,20,20,20,5,15
5,8,3,0,25,10,35,15,0,15
5,7,5,0,15,20,15,30,5,15
6,8,6,0,40,15,20,10,5,10
5,8,5,0,40,20,20,20,0,0
6,8,6,0,20,25,25,10,10,10
6,6,4,0,25,20,25,20,10,0
3,4,1,0,25,35,30,10,0,0
7,7,7,0,25,15,25,25,15,15
6,6,5,0,25,15,25,15,0,20
6,8,6,0,20,35,20,10,10,5
9,5,3,0,20,20,25,25,5,5
3,5,4,0,25,10,35,15,0,15
6,7,4,0,15,20,15,30,5,15
6,8,6,0,40,15,20,10,5,10
6,8,6,0,40,20,20,20,0,0
7,9,10,0,20,25,25,10,10,10
7,5,3,0,25,20,25,20,10,0
6,6,3,0,25,35,30,10,0,0
9,7,7,0,25,15,25,25,15,15
9,8,6,0,25,15,25,15,0,20
9,6,8,0,20,35,20,10,10,5
7,6,5,0,20,20,25,25,5,5
7,7,5,0,25,10,35,15,0,15
8,8,5,0,15,20,15,30,5,15
8,8,7,0,40,15,20,10,5,10
8,8,7,0,40,20,20,20,0,0
8,10,8,0,20,25,25,10,10,10
8,10,4,0,25,20,25,20,10,0
5,9,4,0,20,25,20,15,10,10
5,6,3,0,25,35,30,10,0,0
7,6,8,0,25,15,25,25,15,15
9,8,7,0,25,15,25,15,0,20
8,9,7,0,20,35,20,10,10,5
5,7,5,0,20,20,25,25,5,5
5,6,3,0,30,15,25,25,5,0
7,7,6,0,20,20,20,20,5,15
8,7,4,0,25,10,35,15,0,15
6,7,5,0,15,20,15,30,5,15
8,9,7,0,40,15,20,10,5,10
7,8,6,0,40,20,20,20,0,0
6,8,7,0,20,25,25,10,10,10
6,10,3,0,25,20,25,20,10,0
6,10,6,0,20,25,20,15,10,10
4,4,4,0,25,35,30,10,0,0
6,7,8,0,25,15,25,25,15,15
6,5,5,0,25,15,25,15,0,20
6,8,8,0,20,35,20,10,10,5
5,6,3,0,20,20,25,25,5,5
7,7,7,0,20,20,20,20,5,15
6,8,5,0,35,10,20,15,10,10
6,9,4,0,25,10,35,15,0,15
5,7,6,0,15,20,15,30,5,15
7,9,7,0,40,15,20,10,5,10
5,8,7,0,40,20,20,20,0,0
6,9,7,0,20,25,25,10,10,10
8,7,4,0,25,20,25,20,10,0
6,9,3,0,20,25,20,15,10,10
6,5,2,0,25,35,30,10,0,0
8,7,6,0,25,15,25,25,15,15
7,7,7,0,25,15,25,15,0,20
7,7,7,0,20,35,20,10,10,5
5,6,6,0,20,20,25,25,5,5
7,7,3,0,30,15,25,25,5,0
8,8,6,0,20,20,20,20,5,15
6,6,1,0,25,10,35,15,0,15
6,6,5,0,15,20,15,30,5,15
8,8,7,0,40,15,20,10,5,10
8,8,7,0,40,20,20,20,0,0
8,9,9,0,20,25,25,10,10,10
5,6,3,0,25,20,25,20,10,0
3,8,4,0,20,25,20,15,10,10
7,4,5,0,25,35,30,10,0,0
8,6,7,0,25,15,25,15,0,20
8,8,8,0,20,35,20,10,10,5
7,5,4,0,20,20,25,25,5,5
7,7,4,0,30,15,25,25,5,0
8,8,5,0,20,20,20,20,5,15
8,4,1,0,25,10,35,15,0,15
7,7,5,0,15,20,15,30,5,15
8,7,6,0,40,15,20,10,5,10
8,8,7,0,40,20,20,20,0,0
8,8,8,0,20,25,25,10,10,10
5,8,4,0,25,20,25,20,10,0
6,5,4,0,25,35,30,10,0,0
7,7,7,0,25,15,25,25,15,15
7,7,7,0,25,15,25,15,0,20
6,7,7,0,20,35,20,10,10,5
6,6,4,0,20,20,25,25,5,5
6,8,4,0,30,15,25,25,5,0
8,8,5,0,20,20,20,20,5,15
5,6,2,0,25,10,35,15,0,15
6,6,5,0,15,20,15,30,5,15
7,8,6,0,40,15,20,10,5,10
9,8,6,0,40,20,20,20,0,0
6,9,7,0,20,25,25,10,10,10
4,6,3,0,25,20,25,20,10,0
4,6,4,0,25,35,30,10,0,0
5,5,5,0,25,15,25,25,15,15
6,7,6,0,25,15,25,15,0,20
6,8,7,0,20,35,20,10,10,5
3,6,4,0,30,15,25,25,5,0
6,8,3,0,20,20,20,20,5,15
2,9,7,0,25,10,35,15,0,15
5,7,5,0,15,20,15,30,5,15
7,8,7,0,40,15,20,10,5,10
6,8,6,0,40,20,20,20,0,0
8,9,7,0,25,20,25,20,10,0
4,6,2,0,25,35,30,10,0,0
7,6,5,0,25,15,25,25,15,15
6,6,7,0,25,15,25,15,0,20
8,8,7,0,20,35,20,10,10,5
6,7,6,0,20,20,25,25,5,5
8,7,4,0,20,20,20,20,5,15
6,8,7,0,25,10,35,15,0,15
7,7,5,0,15,20,15,30,5,15
6,9,6,0,40,15,20,10,5,10
6,8,6,0,40,20,20,20,0,0
8,10,10,0,20,25,25,10,10,10
3,10,4,0,25,20,25,20,10,0
4,9,5,0,20,25,20,15,10,10
3,7,3,0,25,35,30,10,0,0
8,5,4,0,25,15,25,25,15,15
5,7,5,0,25,15,25,15,0,20
6,8,6,0,20,35,20,10,10,5
3,7,6,0,20,20,25,25,5,5
3,5,3,0,30,15,25,25,5,0
7,8,5,0,20,20,20,20,5,15
1,8,9,0,25,10,35,15,0,15
4,6,5,0,15,20,15,30,5,15
5,8,6,0,40,15,20,10,5,10
3,8,5,0,40,20,20,20,0,0
5,9,9,0,20,25,25,10,10,10
6,8,7,1,12,18,20,16,16,18
5,7,5,1,20,20,20,10,10,20
5,7,7,1,10,20,40,10,10,10
7,8,5,1,20,20,15,15,15,15
2,5,2,1,20,20,20,15,15,10
3,6,5,1,10,20,20,20,20,10
4,6,4,1,35,10,20,20,10,5
6,8,4,1,30,20,30,10,0,10
6,8,8,1,20,23,23,22,7,5
2,5,3,1,20,25,20,15,15,5
2,4,3,1,10,10,30,25,10,15
2,8,3,1,50,10,20,10,10,0
6,7,8,1,20,20,20,15,15,10
5,8,5,1,12,18,20,16,16,18
4,7,2,1,20,20,20,10,10,20
5,7,7,1,10,20,40,10,10,10
5,8,5,1,20,20,15,15,15,15
2,5,2,1,20,20,20,15,15,10
8,9,5,1,10,20,20,20,20,10
2,6,2,1,30,20,30,10,0,10
5,9,6,1,20,23,23,22,7,5
1,2,2,1,20,25,20,15,15,5
2,5,3,1,10,10,30,25,10,15
1,1,1,1,50,10,20,10,10,0
8,9,6,1,12,18,20,16,16,18
5,6,3,1,20,20,20,10,10,20
6,6,6,1,10,20,40,10,10,10
6,7,7,1,20,20,15,15,15,15
2,5,3,1,20,20,20,15,15,10
1,4,1,1,17,10,18,20,25,10
6,7,7,1,10,20,20,20,20,10
4,5,4,1,35,10,20,20,10,5
6,8,5,1,30,20,30,10,0,10
5,4,6,1,30,5,30,15,15,5
6,8,9,1,20,23,23,22,7,5
2,2,1,1,20,25,20,15,15,5
4,4,4,1,10,10,30,25,10,15
8,8,7,1,50,10,20,10,10,0
5,8,3,1,12,18,20,16,16,18
5,7,3,1,20,20,20,10,10,20
5,7,7,1,10,20,40,10,10,10
4,5,4,1,20,20,15,15,15,15
2,6,2,1,20,20,20,15,15,10
1,6,3,1,17,10,18,20,25,10
4,6,6,1,10,20,20,20,20,10
4,5,5,1,35,10,20,20,10,5
5,7,5,1,50,0,50,0,0,0
5,7,5,1,30,20,30,10,0,10
6,8,7,1,20,23,23,22,7,5
1,1,1,1,20,25,20,15,15,5
4,7,2,1,10,10,30,25,10,15
3,7,2,1,50,10,20,10,10,0
7,9,5,1,20,20,20,15,15,10
7,7,2,1,12,18,20,16,16,18
6,8,6,1,20,20,20,10,10,20
7,7,9,1,10,20,40,10,10,10
6,7,3,1,20,20,15,15,15,15
3,8,4,1,20,20,20,15,15,10
1,3,1,1,17,10,18,20,25,10
8,6,2,1,20,22,18,15,15,10
6,9,3,1,10,20,20,20,20,10
4,6,5,1,35,10,20,20,10,5
5,7,6,1,50,0,50,0,0,0
5,6,7,1,30,20,30,10,0,10
4,6,3,1,30,5,30,15,15,5
5,8,5,1,20,23,23,22,7,5
1,1,1,1,20,25,20,15,15,5
7,6,6,1,10,10,30,25,10,15
5,10,7,1,50,10,20,10,10,0
4,7,1,1,20,20,20,15,15,10
6,8,4,1,12,18,20,16,16,18
6,7,6,1,20,20,20,10,10,20
6,7,5,1,10,20,40,10,10,10
6,8,7,1,20,20,15,15,15,15
4,7,3,1,20,20,20,15,15,10
3,6,1,1,17,10,18,20,25,10
6,8,2,1,20,22,18,15,15,10
4,5,5,1,10,20,20,20,20,10
4,5,4,1,35,10,20,20,10,5
8,8,6,1,50,0,50,0,0,0
6,6,3,1,30,20,30,10,0,10
4,5,5,1,30,5,30,15,15,5
7,8,9,1,20,23,23,22,7,5
2,2,4,1,20,25,20,15,15,5
6,4,2,1,10,10,30,25,10,15
6,6,3,1,50,10,20,10,10,0
4,5,1,1,20,20,20,15,15,10
6,8,5,1,12,18,20,16,16,18
8,7,7,1,20,20,20,10,10,20
7,6,6,1,10,20,40,10,10,10
7,8,6,1,20,20,15,15,15,15
7,4,4,1,20,20,20,15,15,10
8,7,4,1,17,10,18,20,25,10
8,7,5,1,10,20,20,20,20,10
9,6,5,1,35,10,20,20,10,5
8,7,4,1,30,20,30,10,0,10
8,8,10,1,20,23,23,22,7,5
2,5,2,1,20,25,20,15,15,5
8,5,5,1,10,10,30,25,10,15
10,6,3,1,50,10,20,10,10,0
4,7,3,1,12,18,20,16,16,18
5,7,5,1,20,20,20,10,10,20
5,6,6,1,10,20,40,10,10,10
5,7,7,1,10,20,20,15,20,15
3,8,5,1,20,20,15,15,15,15
3,7,2,1,20,20,20,15,15,10
1,4,4,1,17,10,18,20,25,10
5,5,6,1,10,20,20,20,20,10
2,3,2,1,35,10,20,20,10,5
7,9,8,1,50,0,50,0,0,0
4,5,4,1,30,20,30,10,0,10
3,3,3,1,30,5,30,15,15,5
5,6,8,1,20,23,23,22,7,5
1,3,1,1,20,25,20,15,15,5
3,5,6,1,10,10,30,25,10,15
7,9,3,1,50,10,20,10,10,0
5,5,7,1,20,20,20,15,15,10
7,7,3,1,12,18,20,16,16,18
7,7,6,1,20,20,20,10,10,20
6,6,5,1,10,20,40,10,10,10
7,8,6,1,20,20,15,15,15,15
6,5,3,1,20,20,20,15,15,10
4,6,7,1,17,10,18,20,25,10
8,7,6,1,20,22,18,15,15,10
7,7,7,1,10,20,20,20,20,10
8,9,8,1,35,10,20,20,10,5
7,8,4,1,50,0,50,0,0,0
8,7,8,1,30,20,30,10,0,10
5,4,2,1,30,5,30,15,15,5
8,8,6,1,20,23,23,22,7,5
3,1,3,1,20,25,20,15,15,5
8,5,6,1,10,10,30,25,10,15
8,6,3,1,50,10,20,10,10,0
8,5,5,1,20,20,20,15,15,10
9,9,8,1,12,18,20,16,16,18
6,7,4,1,20,20,20,10,10,20
7,7,7,1,10,20,40,10,10,10
8,8,8,1,20,20,15,15,15,15
5,8,6,1,20,20,20,15,15,10
7,5,4,1,20,22,18,15,15,10
8,7,7,1,10,20,20,20,20,10
7,8,5,1,35,10,20,20,10,5
6,8,6,1,50,0,50,0,0,0
6,7,5,1,30,20,30,10,0,10
7,8,6,1,30,5,30,15,15,5
7,9,10,1,20,23,23,22,7,5
4,5,8,1,20,25,20,15,15,5
6,5,4,1,10,10,30,25,10,15
9,9,3,1,50,10,20,10,10,0
5,7,6,1,12,18,20,16,16,18
5,6,7,1,20,20,20,10,10,20
6,6,7,1,10,20,40,10,10,10
9,8,7,1,20,20,15,15,15,15
7,6,6,1,20,20,20,15,15,10
6,5,4,1,17,10,18,20,25,10
7,7,7,1,10,20,20,20,20,10
9,7,8,1,35,10,20,20,10,5
7,8,4,1,50,0,50,0,0,0
7,9,5,1,30,20,30,10,0,10
4,4,4,1,30,5,30,15,15,5
6,8,9,1,20,23,23,22,7,5
5,4,3,1,20,25,20,15,15,5
6,3,4,1,10,10,30,25,10,15
8,8,7,1,50,10,20,10,10,0
7,4,2,1,12,18,20,16,16,18
3,4,2,1,20,20,20,10,10,20
7,6,4,1,10,20,40,10,10,10
6,5,8,1,20,20,15,15,15,15
6,7,6,1,20,20,20,15,15,10
1,2,2,1,17,10,18,20,25,10
6,7,6,1,20,22,18,15,15,10
5,5,3,1,10,20,20,20,20,10
4,6,5,1,35,10,20,20,10,5
5,6,5,1,50,0,50,0,0,0
7,5,2,1,30,20,30,10,0,10
3,3,2,1,30,5,30,15,15,5
8,8,6,1,20,23,23,22,7,5
5,2,4,1,20,25,20,15,15,5
7,4,8,1,10,10,30,25,10,15
8,7,3,1,50,10,20,10,10,0
5,8,2,1,12,18,20,16,16,18
3,6,4,1,20,20,20,10,10,20
6,6,6,1,10,20,40,10,10,10
5,4,7,1,20,20,15,15,15,15
2,7,4,1,20,20,20,15,15,10
1,3,2,1,17,10,18,20,25,10
6,8,5,1,20,22,18,15,15,10
3,7,5,1,10,20,20,20,20,10
3,8,5,1,35,10,20,20,10,5
4,7,4,1,50,0,50,0,0,0
9,9,9,1,30,20,30,10,0,10
4,4,3,1,30,5,30,15,15,5
6,7,9,1,20,23,23,22,7,5
1,5,2,1,20,25,20,15,15,5
2,6,5,1,10,10,30,25,10,15
2,9,3,1,50,10,20,10,10,0
6,8,2,1,12,18,20,16,16,18
7,7,8,1,20,20,20,10,10,20
7,8,5,1,20,20,15,15,15,15
6,8,5,1,20,20,20,15,15,10
6,4,2,1,17,10,18,20,25,10
7,7,7,1,10,20,20,20,20,10
7,7,6,1,35,10,20,20,10,5
7,6,9,1,50,0,50,0,0,0
8,7,4,1,30,20,30,10,0,10
5,4,3,1,30,5,30,15,15,5
8,8,6,1,20,23,23,22,7,5
9,8,7,1,20,25,20,15,15,5
7,7,4,1,10,10,30,25,10,15
3,9,5,1,50,10,20,10,10,0
6,8,2,1,12,18,20,16,16,18
4,5,4,1,20,20,20,10,10,20
6,7,5,1,10,20,40,10,10,10
5,8,6,1,20,20,15,15,15,15
2,8,2,1,20,20,20,15,15,10
2,4,2,1,17,10,18,20,25,10
6,7,5,1,20,22,18,15,15,10
3,5,6,1,10,20,20,20,20,10
4,5,5,1,35,10,20,20,10,5
7,6,9,1,50,0,50,0,0,0
5,6,8,1,30,20,30,10,0,10
4,6,3,1,30,5,30,15,15,5
6,8,9,1,20,23,23,22,7,5
3,4,2,1,20,25,20,15,15,5
4,3,3,1,10,10,30,25,10,15
3,9,5,1,50,10,20,10,10,0
5,9,5,1,12,18,20,16,16,18
6,7,7,1,20,20,20,10,10,20
6,8,5,1,10,20,40,10,10,10
7,7,6,1,20,20,15,15,15,15
6,6,4,1,20,20,20,15,15,10
5,6,4,1,17,10,18,20,25,10
6,8,3,1,20,22,18,15,15,10
7,7,8,1,10,20,20,20,20,10
9,8,8,1,35,10,20,20,10,5
8,8,5,1,50,0,50,0,0,0
7,7,4,1,30,20,30,10,0,10
4,4,5,1,30,5,30,15,15,5
6,8,6,1,20,23,23,22,7,5
5,6,4,1,20,25,20,15,15,5
5,7,5,1,10,10,30,25,10,15
8,8,8,1,50,10,20,10,10,0
7,6,5,0,20,25,15,15,53,20
8,8,5,0,20,15,20,20,5,10
6,4,3,0,21,17,22,20,8,13
8,6,5,0,25,10,20,20,15,10
9,8,6,0,60,15,0,15,0,10
7,8,5,0,21,20,19,20,10,10
7,7,5,0,30,10,20,30,0,10
8,10,5,0,30,0,30,30,10,0
8,6,5,0,20,20,20,20,10,10
4,7,5,0,20,25,15,15,53,20
5,10,1,0,20,15,20,20,5,10
5,6,4,0,21,17,22,20,8,13
5,8,4,0,25,10,20,20,15,10
6,9,6,0,60,15,0,15,0,10
5,8,7,0,21,20,19,20,10,10
6,8,5,0,30,10,20,30,0,10
7,6,5,0,30,0,30,30,10,0
6,8,5,0,20,20,20,20,10,10
5,8,6,0,20,25,15,15,53,20
6,6,6,0,20,15,20,20,5,10
3,6,4,0,21,17,22,20,8,13
6,6,5,0,25,10,20,20,15,10
4,8,1,0,60,15,0,15,0,10
5,8,5,0,21,20,19,20,10,10
