gender,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,age,race
1,5,6,7,5,7,8,7,25,2
1,3,7,6,1,1,1,2,25,2
1,4,8,7,4,5,4,5,25,2
1,6,8,8,5,6,7,6,25,2
1,8,9,9,7,6,5,6,25,2
1,7,6,7,4,6,7,6,30,2
1,7,5,9,6,7,9,8,30,2
1,8,9,10,7,7,9,8,30,2
1,7,10,10,7,10,5,5,30,2
1,6,6,8,5,5,6,6,30,2
1,8,8,8,8,3,4,8,30,2
1,7,7,8,7,7,7,8,30,2
1,6,7,8,5,7,7,6,30,2
1,6,8,9,6,6,6,7,30,2
1,4,9,7,6,5,6,6,27,2
1,5,8,7,5,9,5,5,27,2
1,7,9,9,8,9,7,8,27,2
1,5,9,9,5,9,7,6,27,2
1,5,5,7,6,7,5,6,27,2
1,4,8,9,2,8,3,5,27,2
1,5,7,8,5,9,5,5,27,2
1,5,6,7,4,5,6,5,27,2
1,6,7,8,7,9,6,7,27,2
1,7,6,8,9,8,8,7,28,2
1,7,6,8,9,4,5,5,28,2
1,9,9,9,9,9,9,9,28,2
1,9,8,10,10,7,8,8,28,2
1,7,5,7,8,7,9,9,28,2
1,7,6,8,8,6,9,9,28,2
1,6,6,8,8,8,6,6,28,2
1,8,8,5,9,8,9,7,28,2
1,8,5,5,6,5,5,7,28,2
1,9,9,9,9,9,9,9,28,2
1,5,6,6,8,10,8,6,24,2
1,6,7,8,7,9,8,8,24,2
1,8,7,9,7,9,7,8,24,2
1,8,9,10,10,8,8,10,24,2
1,9,6,7,9,6,5,10,24,2
1,8,9,9,9,10,7,9,24,2
1,8,6,7,7,8,6,7,24,2
1,7,6,8,7,9,8,8,24,2
1,7,8,7,8,7,8,8,24,2
1,9,9,8,10,8,8,9,24,2
0,3,10,10,6,4,7,4,21,4
0,3,10,9,5,9,2,6,21,4
0,4,5,6,4,6,2,5,21,4
0,6,7,8,6,7,7,8,21,4
0,7,8,8,7,9,6,7,21,4
0,6,7,10,8,9,8,8,21,4
0,9,5,6,5,5,7,5,21,4
0,3,8,5,5,8,3,4,21,4
0,6,7,8,4,6,4,6,21,4
0,2,8,8,3,2,2,5,21,4
0,6,6,8,6,7,6,6,21,4
0,6,8,8,7,7,6,7,21,4
0,5,7,7,7,7,5,5,21,4
0,5,8,10,7,9,5,6,21,4
0,4,10,8,8,6,4,3,27,1
0,3,6,8,5,5,1,2,27,1
0,4,5,5,3,5,1,5,27,1
0,6,7,6,6,8,5,6,27,1
0,7,7,7,5,6,5,6,27,1
0,5,8,5,5,6,5,5,27,1
0,2,2,3,2,2,1,2,27,1
0,4,6,7,6,5,5,4,27,1
0,6,8,8,7,8,6,7,27,1
0,4,7,7,6,6,5,6,27,1
0,5,8,9,7,10,8,7,27,1
0,5,4,3,7,4,3,1,21,4
0,4,6,5,4,3,2,6,21,4
0,8,8,8,10,7,8,8,21,4
0,7,8,7,6,6,6,7,21,4
0,6,8,9,8,8,9,8,21,4
0,5,6,6,4,7,4,6,21,4
0,4,6,6,4,3,3,3,21,4
0,7,8,8,6,7,3,6,21,4
0,4,6,4,1,1,1,2,21,4
0,7,7,6,6,6,5,5,21,4
0,7,8,8,7,8,6,7,21,4
0,6,7,7,7,9,7,7,21,4
0,6,9,10,8,10,7,7,21,4
0,5,10,9,9,8,5,2,27,2
0,7,6,7,9,8,2,3,27,2
0,5,5,6,4,7,2,5,27,2
0,5,7,8,7,8,8,8,27,2
0,6,6,6,6,5,5,5,27,2
0,7,8,8,8,7,9,8,27,2
0,6,6,6,5,6,4,6,27,2
0,7,7,6,5,6,7,7,27,2
0,7,5,7,6,6,6,6,27,2
0,7,7,9,5,6,2,4,27,2
0,8,8,8,8,7,7,7,27,2
0,8,7,8,7,7,8,7,27,2
0,8,9,9,8,8,6,8,27,2
0,8,10,9,9,8,4,3,25,2
0,8,5,6,6,5,1,6,25,2
0,7,6,6,7,5,4,7,25,2
0,7,6,6,7,6,6,7,25,2
0,10,8,7,8,7,8,9.5,25,2
0,6,7,5,5,5,2,6,25,2
0,9,8,7,8,6,5,8,25,2
0,6,4,7,6,2,2,3,25,2
0,8,7,7,7,6,6,7,25,2
0,9,8,8,8,8,7,8,25,2
0,8,9,9,9,7,5,7,25,2
0,8,9,8,10,9,8,9,25,2
0,8,9,9,8,7,4,3,23,2
0,6,5,7,5,5,2,5,23,2
0,8,7,7,8,7,7,9,23,2
0,7,6,8,7,6,7,8,23,2
0,10,9,9,10,7,8,9.5,23,2
0,5,6,6,6,6,6,6,23,2
0,9,8,7,7,7,8,8,23,2
0,7,3,5,5,3,2,6,23,2
0,8,7,7,7,6,6,7,23,2
0,9,9,9,9,8,8,8,23,2
0,8,8,7,8,7,6,7,23,2
0,8,9,8,9,9,8,9,23,2
0,9,8,6,8,7,5,5,22,3
0,7,6,5,7,3,5,6,22,3
0,9,7,7,7,6,5,7,22,3
0,8,8,7,8,6,7,8,22,3
0,9,8,8,8,7,9,9.5,22,3
0,7,5,6,6,4,5,7,22,3
0,8,8,7,7,7,0,7,22,3
0,8,4,4,7,5,3,6,22,3
0,8,7,7,6,6,7,7,22,3
0,8,8,8,8,8,7,8,22,3
0,9,9,8,9,8,7,8,22,3
0,9,8,9,10,9,8,10,22,3
0,8,8,7,8,7,3,6,26,2
0,8,8,8,8,8,8,5,26,2
0,5,6,6,4,7,6,5,26,2
0,5,5,5,5,6,5,5,26,2
0,7,7,7,6,6,6,8,26,2
0,7,7,7,7,7,9,8,26,2
0,5,6,7,5,7,5,7,26,2
0,7,8,5,6,3,3,5,26,2
0,6,8,8,7,8,5,7,26,2
0,6,7,7,3,2,1,5,26,2
0,5,6,7,5,6,5,5,26,2
0,7,8,8,7,8,7,7,26,2
0,7,8,7,7,7,7,7,26,2
0,9,9,10,9,9,9,10,26,2
0,5,6,3,4,3,3,1,22,2
0,4,4,5,4,6,5,5,22,2
0,7,6,7,6,7,5,7,22,2
0,8,8,6,7,6,6,7,22,2
0,6,7,6,8,7,7,7,22,2
0,5,6,5,6,7,2,6,22,2
0,6,8,9,5,9,3,5,22,2
0,7,8,8,7,6,5,7,22,2
0,5,8,5,3,3,3,6,22,2
0,5,7,6,7,5,5,5,22,2
0,6,8,8,7,7,6,7,22,2
0,5,8,7,7,7,5,6,22,2
0,6,8,8,8,9,6,7,22,2
0,6,6,8,7,8,4,2,23,2
0,3,4,7,3,7,1,3,23,2
0,7,7,7,7,6,7,8,23,2
0,6,6,6,6,6,5,6,23,2
0,6,8,8,9,8,6,7,23,2
0,9,5,6,3,6,3,6,23,2
0,3,5,6,2,6,4,4,23,2
0,6,7,7,6,6,4,5,23,2
0,6,8,8,7,8,6,7,23,2
0,6,8,8,7,8,6,6,23,2
0,7,9,10,10,10,10,8,23,2
0,7,5,4,4,8,3,2,24,2
0,6,6,6,6,5,3,6,24,2
0,9,7,7,6,7,7,9,24,2
0,9,8,8,7,8,6,8,24,2
0,9,6,7,6,7,8,8,24,2
0,7,6,6,5,7,5,6,24,2
0,7,7,7,4,5,5,6,24,2
0,8,8,8,6,7,5,7,24,2
0,8,8,9,8,9,7,8,24,2
0,8,8,8,8,7,7,7,24,2
0,8,10,10,10,10,8,10,24,2
0,8,10,10,7,8,4,5,27,4
0,5,9,10,8,10,4,5,27,4
0,5,6,7,4,4,3,6,27,4
0,7,6,6,7,7,8,9,27,4
0,9,8,8,8,8,7,7,27,4
0,8,9,8,7,10,7,8,27,4
0,5,7,7,6,5,5,6,27,4
0,5,6,8,5,8,3,4,27,4
0,7,7,8,7,7,6,6,27,4
0,8,7,7,9,5,4,8,27,4
0,6,7,7,7,6,5,7,27,4
0,8,9,9,8,9,7,7,27,4
0,7,8,8,7,8,6,7,27,4
0,6,8,10,8,7,7,8,27,4
0,6,10,10,8,5,3,6,30,2
0,6,10,10,8,10,6,6,30,2
0,4,4,7,3,6,4,4,30,2
0,6,7,7,6,6,8,6,30,2
0,6,5,7,5,7,5,6,30,2
0,6,8,7,8,8,8,7,30,2
0,5,6,7,6,6,3,6,30,2
0,7,7,8,8,8,7,8,30,2
0,6,8,8,8,8,5,7,30,2
0,6,9,8,6,5,4,6,30,2
0,5,7,6,6,6,6,5,30,2
0,7,9,9,7,9,7,7,30,2
0,5,8,8,7,7,7,6,30,2
0,6,9,9,8,8,7,8,30,2
0,8,7,6,8,6,4,5,21,4
0,6,9,7,6,6,3,5,21,4
0,6,5,5,6,7,2,6,21,4
0,8,7,8,7,6,6,8,21,4
0,7,7,7,7,7,7,7,21,4
0,7,7,7,9,8,7,8,21,4
0,5,6,7,7,7,6,6,21,4
0,7,7,7,5,5,3,7,21,4
0,8,8,7,6,7,6,6,21,4
0,6,6,8,2,8,1,6,21,4
0,6,6,6,5,5,5,5,21,4
0,8,8,8,8,8,7,8,21,4
0,8,8,7,8,7,7,7,21,4
0,8,9,10,9,10,9,10,21,4
0,5,6,6,5,7,3,3,25,2
0,3,8,7,7,10,4,4,25,2
0,7,4,7,3,7,5,5,25,2
0,8,6,7,6,7,7,7,25,2
0,8,8,8,6,9,8,8,25,2
0,7,5,6,5,6,4,6,25,2
0,7,7,8,5,5,4,6,25,2
0,8,8,10,5,6,5,7,25,2
0,8,4,8,1,7,1,3,25,2
0,7,7,8,6,6,5,6,25,2
0,8,7,8,8,8,6,8,25,2
0,8,8,9,7,8,7,7,25,2
0,8,8,8,9,9,8,8,25,2
0,5,8,9,7,8,4,3,26,2
0,6,5,5,4,5,4,5,26,2
0,7,7,7,5,6,7,9,26,2
0,7,7,8,7,7,7,7,26,2
0,6,7,8,6,9,7,6,26,2
0,6,6,6,5,8,4,5,26,2
0,6,8,7,7,9,4,6,26,2
0,8,8,7,7,10,5,8,26,2
0,5,6,8,5,5,2,5,26,2
0,6,6,6,7,5,5,6,26,2
0,7,8,8,7,8,6,6,26,2
0,9,8,7,6,7,6,7,26,2
0,6,9,9,8,9,7,7,26,2
0,4,6,8,7,6,3,1,27,2
0,4,6,7,3,6,4,4,27,2
0,5,5,6,5,7,5,6,27,2
0,6,7,6,6,5,6,7,27,2
0,6,8,9,8,9,7,7,27,2
0,3,6,6,5,4,4,4,27,2
0,6,8,8,6,8,3,7,27,2
0,2,9,9,3,7,7,7,27,2
0,5,7,6,7,6,5,6,27,2
0,7,8,8,7,8,7,7,27,2
0,6,8,7,6,8,6,7,27,2
0,8,9,10,9,10,7,3,23,1
0,4,6,7,6,7,2,5,23,1
0,7,6,6,7,6,5,7,23,1
0,6,6,7,9,7,7,7,23,1
0,8,8,8,10,8,7,8,23,1
0,6,7,7,6,6,6,6,23,1
0,8,7,7,8,8,4,8,23,1
0,6,8,8,6,7,7,8,23,1
0,7,7,7,7,7,5,5,23,1
0,6,9,9,8,9,6,6,23,1
0,6,8,9,7,8,6,6,23,1
0,8,10,10,10,10,10,10,23,1
0,3,10,9,10,4,4,3,24,3
0,4,9,8,6,6,5,6,24,3
0,3,7,7,7,5,3,6,24,3
0,8,5,5,5,5,4,5,24,3
0,5,7,5,5,6,5,5,24,3
0,6,8,7,9,7,6,8,24,3
0,3,7,6,5,5,6,5,24,3
0,3,5,5,6,5,3,4,24,3
0,7,8,7,8,4,5,7,24,3
0,1,8,8,8,8,9,9,24,3
0,4,6,6,6,7,5,5,24,3
0,5,8,8,7,9,6,6,24,3
0,3,8,7,8,7,5,6,24,3
0,5,9,10,9,10,9,8,24,3
1,6,8,7,9,5,7,9,25,4
1,5,7,7,6,7,5,6,25,4
1,5,7,6,6,6,7,8,25,4
1,7,8,9,6,8,5,6,25,4
1,2,5,5,3,5,2,2,25,4
1,3,6,6,6,5,2,2,25,4
1,3,6,6,5,6,5,6,25,4
1,4,6,6,6,6,4,5,25,4
1,6,8,7,10,7,4,8,25,4
1,6,8,9,7,7,8,7,25,4
1,2,5,2,3,1,3,2,25,4
1,2,4,5,4,4,3,3,25,4
1,2,8,10,3,10,3,5,25,4
1,6,7,9,9,9,8,7,25,4
1,5,8,7,5,9,5,7,30,4
1,4,7,6,6,7,2,3,30,4
1,5,7,7,6,6,7,7,30,4
1,5,8,8,6,8,5,7,30,4
1,2,5,5,3,5,2,2,30,4
1,2,6,5,4,5,2,2,30,4
1,8,9,8,5,9,5,8,30,4
1,2,6,7,4,6,2,5,30,4
1,5,9,8,6,7,6,6,30,4
1,1,2,2,1,8,2,2,30,4
1,2,5,6,3,4,3,3,30,4
1,1,1,10,1,10,1,1,30,4
1,8,9,8,8,7,6,9,23,4
1,5,6,6,5,6,3,3,23,4
1,6,6,7,6,6,6,6.5,23,4
1,6,7,8,7,9,7,7,23,4
1,2,5,5,3,7,3,3,23,4
1,1,4,6,2,6,1,2,23,4
1,3,5,8,5,8,3,3,23,4
1,6,7,8,7,8,7,8,23,4
1,4,5,6,5,6,4,5,23,4
1,6,8,6,6,6,5,5,23,4
1,5,4,5,6,7,6,5,23,4
1,6,8,9,8,7,9,8,23,4
1,2,2,4,1,5,1,2,23,4
1,4,4,6,7,5,4,4,23,4
1,8,8,10,7,7,7,8,23,4
1,5,8,8,4,9,3,6,24,2
1,5,7,7,5,7,3,4,24,2
1,5,7,8,6,6,7,7,24,2
1,4,5,10,4,10,4,4,24,2
1,2,6,7,1,7,2,2,24,2
1,1,6,7,6,4,3,2,24,2
1,4,6,5,4,4,3,3,24,2
1,4,6,6,5,7,6,6,24,2
1,4,5,6,5,5,5,5,24,2
1,5,7,7,6,9,5,5,24,2
1,5,7,7,5,7,5,6,24,2
1,6,8,8,8,7,7,8,24,2
1,1,1,1,1,1,1,1,24,2
1,4,7,8,2,6,2,3,24,2
1,3,7,10,4,8,2,5,24,2
1,7,9,8,7,6,5,8,24,2
1,7,7,8,5,7,2,6,24,2
1,6,8,8,7,7,6,6,24,2
1,7,7,7,6,6,9,9,24,2
1,6,7,9,7,9,3,5,24,2
1,3,8,7,6,6,4,5,24,2
1,1,3,4,2,2,1,1,24,2
1,4,6,7,4,5,2,2,24,2
1,8,6,7,3,7,2,6,24,2
1,6,9,7,5,6,3,7,24,2
1,4,6,7,5,8,5,5,24,2
1,5,7,9,5,4,6,6,24,2
1,5,6,6,2,5,7,4,24,2
1,4,6,5,4,5,3,5,24,2
1,5,8,7,7,7,5,6,24,2
1,1,1,1,1,1,1,1,24,2
1,7,6,8,6,9,6,7,24,2
1,5,10,7,4,5,7,5,24,2
1,4,7,7,4,5,1,2,24,2
1,6,8,8,6,8,4,5,28,2
1,6,7,7,4,6,6,6,28,2
1,6,7,7,6,7,5,7,28,2
1,6,8,7,5,8,7,7,28,2
1,4,7,6,1,4,3,2,28,2
1,3,6,6,4,5,1,1,28,2
1,4,6,5,3,3,3,3,28,2
1,6,8,7,4,7,2,6,28,2
1,4,5,5,2,6,5,4,28,2
1,4,5,7,3,6,4,5,28,2
1,8,8,9,5,9,6,8,28,2
1,6,6,7,3,7,3,5,28,2
1,4,5,6,5,6,5,5,28,2
1,7,8,9,7,8,9,8,28,2
1,2,2,5,2,8,4,3,28,2
1,6,4,7,4,5,2,4,28,2
1,6,6,8,3,8,3,4,28,2
1,4,5,7,1,5,1,5,28,2
1,6,8,8,6,8,5,8,26,2
1,8,7,7,7,6,7,7,26,2
1,7,6,7,7,7,6,7,26,2
1,7,8,8,6,10,6,8,26,2
1,7,4,5,6,5,4,6,26,2
1,8,7,6,6,4,4,6,26,2
1,7,8,8,8,5,9,7.5,26,2
1,8,7,7,7,5,5,7,26,2
1,9,6,7,7,6,5,7,26,2
1,8,7,9,5,6,4,6,26,2
1,8,8,9,9,8,10,8,26,2
1,2,5,4,3,4,2,3,26,2
1,8,5,9,7,6,5,6,26,2
1,10,6,6,9,5,3,6,26,2
1,4,7,7,4,7,3,5,30,2
1,5,7,7,6,6,5,5,30,2
1,5,6,7,6,6,6,6,30,2
1,5,7,7,7,7,7,7,30,2
1,3,8,9,8,10,5,8,30,2
1,3,7,6,4,6,2,2,30,2
1,1,4,5,4,4,4,3,30,2
1,4,6,6,5,4,3,2,30,2
1,5,5,5,7,7,6,8,30,2
1,2,3,4,2,6,2,4,30,2
1,7,9,8,7,8,8,6,30,2
1,4,5,6,7,7,4,6,30,2
1,3,3,5,3,5,3,5,30,2
1,5,6,8,8,7,8,6,30,2
1,1,3,5,1,2,1,1,30,2
1,3,5,7,6,6,6,5,30,2
1,7,9,7,7,4,3,8,30,2
1,5,5,8,8,5,7,7,30,2
1,7,7,7,5,6,3,6,22,2
1,7,7,7,7,7,6,7,22,2
1,6,6,6,8,6,5,6,22,2
1,7,8,8,8,6,6,7,22,2
1,6,5,5,7,6,3,4,22,2
1,4,6,4,5,6,7,3,22,2
1,6,6,5,6,4,4,4,22,2
1,8,7,8,8,8,6,8,22,2
1,7,7,5,7,5,7,8,22,2
1,8,9,8,8,8,8,8,22,2
1,7,8,7,9,6,4,7,22,2
1,8,7,6,6,7,8,7,22,2
1,5,4,3,3,2,2,4,22,2
1,8,8,7,8,7,6,7,22,2
1,3,1,2,2,2,3,2,22,2
1,8,5,6,9,4,6,7,22,2
1,8,6,5,8,5,3,8,22,2
1,8,5,6,7,5,5,7,22,2
1,9,9,10,9,9,8,9,25,4
1,6,7,7,5,7,4,5,25,4
1,7,7,6,7,6,7,8,25,4
1,8,8,9,8,9,8,9,25,4
1,5,8,8,7,7,6,5,25,4
1,3,5,7,5.5,5,4,4,25,4
1,7,5,6,8,6,4,5,25,4
1,8,7,7,7,7,7,9,25,4
1,7,8,8,6,7,5,7,25,4
1,6,8,9,9,6,6,7,25,4
1,6,7,8,5,7,5,7,25,4
1,7,8,8,7,8,6,7,25,4
1,7,9,9,9,9,10,8,25,4
1,4,5,8,8,10,8,8,25,4
1,6,5,5,4,4,4,3,25,4
1,9,9,9,8,5,3,7,25,4
1,5,7,7,7,7,6,6,27,1
1,5,6,7,7,7,7,6,27,1
1,6,6,7,8,8,7,7,27,1
1,9,8,9,8,10,7,8,27,1
1,7,6,6,7,6,6,8,27,1
1,6,5,6,7,8,4,4,27,1
1,5,8,9,5,8,6,3,27,1
1,7,7,8,8,7,7,8,27,1
1,9,7,8,9,8,8,9,27,1
1,7,8,8,9,8,4,6,27,1
1,7,9,7,7,10,5,7,27,1
1,4,4,6,6,7,4,5,27,1
1,6,8,8,10,8,9,8,27,1
1,5,4,8,5,8,3,5,27,1
1,6,3,6,8,4,4,5,27,1
1,8,8,8,9,9,7,7,27,1
1,7,4,6,4,4,2,2,23,2
1,3,4,5,4,4,2,2,23,2
1,7,6,5,4,4,4,6,23,2
1,6,5,8,7,10,8,6,23,2
1,6,7,6,5,6,6,6,23,2
1,1,2,6,1,6,2,2,23,2
1,5,4.5,6,4,5.5,6,4.5,23,2
1,6,7,7,4,6,6,6,23,2
1,5,5,5,2,4,3,4,23,2
1,4,6,5,5,5,5,5,23,2
1,5,6,7,6,7,5,5,23,2
1,7,5,9,1,9,2,3,23,2
1,3,3,4,2,2,2,3,23,2
1,8,8,6,6,7,6,7,23,2
1,5,2,6,2,5,4,5,23,2
1,7,4,7,7,6,8,6,23,2
1,8,7,9,8,8,3,7,23,2
1,5,8,8,5,8,2,6,21,2
1,3,6,7,5,5,4,2,21,2
1,6,6,5,7,5,6,6,21,2
1,5,4,7,5,9,7,5,21,2
1,2,7,6,4,4,4,5,21,2
1,1,3,7,1,4,2,1,21,2
1,6,8,8,5,7,5,8,21,2
1,3,7,8,6,7,5,7,21,2
1,3,8,8,5,5,5,6,21,2
1,4,7,6,6,9,4,5,21,2
1,9,9,8,9,7,9,8,21,2
1,4,4,5,4,5,3,4,21,2
1,6,7,10,7,7,9,7,21,2
1,1,5,5,2,5,2,3,21,2
1,2,6,6,6,4,5,5,21,2
1,2,9,9,3,8,3,6,21,2
1,6,8,7,7,7,2,6,28,2
1,7,7,8,6,7,8,8,28,2
1,7,8,9,7,8,5,7,28,2
1,6,8,8,6,7,5,6,28,2
1,6,4,8,3,8,2,3,28,2
1,6,6,7,5,6,7,8,28,2
1,7,7,8,7,9,7,9,28,2
1,7,7,7,6,6,6,6.5,28,2
1,7,6,9,8,9,9,7,28,2
1,8,7,5,6,7,4,6,28,2
1,5,4,6,3,7,3,5,28,2
1,8,8,8,8,8,6,8,28,2
1,9,8,8,5,6,7,7,28,2
1,7,7,7,4,7,4,6,28,2
1,3,9,9,3,9,5,2,28,2
1,6,8,7,6,8,2,6,28,2
1,4,5,5,4,5,4,4,28,2
1,6,7,6,6,5,5,6,28,2
1,5,8,8,6,9,6,6,28,2
1,2,8,7,2,7,2,3,28,2
1,2,4,7,3,6,2,1,28,2
1,4,5,6.5,5,5,6,4,28,2
1,6,7,6,4,6,5,6,28,2
1,3,5,8,4,7,6,6,28,2
1,4,5,6,4,5,5,5,28,2
1,7,6,9,8,9,9,7,28,2
1,5,6,5,5,6,8,5,28,2
1,4,6,6,5,7,3,5,28,2
1,6,8,8,6,7,9,7,28,2
1,3,4,6,4,5,2,4,28,2
1,4,3,4,2,3,3,3,28,2
1,3,9,9,5,9,5,5,28,2
1,5,9,9,8,9,5,8,23,1
1,6,7,7,7,7,7,7,23,1
1,6,8,7,6,7,5,6,23,1
1,7,7,7,8,8,6,7,23,1
1,6,6,6,6,6,4,6,23,1
1,5,6,6,4,3,4,4,23,1
1,4,6,6,5,6,6,4,23,1
1,6,8,7,6,5,3,6,23,1
1,7,7,8,8,7,8,8,23,1
1,9,8,7,10,9,8,8.5,23,1
1,8,8,7,9,7,5,7,23,1
1,7,7,6,6,6,4,5,23,1
1,4,4,5,6,6,5,5,23,1
1,6,8,8,8,8,6,8,23,1
1,5,6,8,6,8,4,5,23,1
1,5,7,6,7,4,5,4,23,1
1,8,8,8,8,9,8,9,23,1
0,7,6,6,7,9,5,6,23,2
0,8,8,7,7,7,5,7,23,2
0,6,4,5,6,4,3,5,23,2
0,8,6,7,7,7,5,8,23,2
0,9,8,8,10,9,6,8,23,2
0,7,8,7,5,7,5,6,23,2
0,7,7,6,5,4,5,5,23,2
0,8,10,8,8,10,5,7,23,2
