,iid,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,race,pid,dec_o,gender,age,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,match
40,5,6.0,8.0,8.0,8.0,7.0,6.0,6.0,2.0,11.0,0,0,21.0,35.0,20.0,20.0,20.0,0.0,5.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0
41,5,6.0,7.0,10.0,7.0,6.0,5.0,7.0,2.0,12.0,0,0,21.0,60.0,0.0,0.0,40.0,0.0,0.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0
42,5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,13.0,1,0,21.0,19.0,18.0,19.0,18.0,14.0,12.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0
43,5,6.0,8.0,6.0,8.0,10.0,10.0,7.0,2.0,14.0,1,0,21.0,30.0,5.0,15.0,40.0,5.0,5.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,1
44,5,5.0,9.0,9.0,7.0,9.0,5.0,5.0,2.0,15.0,0,0,21.0,30.0,10.0,20.0,10.0,10.0,20.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0
45,5,5.0,8.0,7.0,7.0,7.0,7.0,6.0,2.0,16.0,0,0,21.0,50.0,0.0,30.0,10.0,0.0,10.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0
46,5,2.0,3.0,4.0,4.0,5.0,3.0,3.0,2.0,17.0,0,0,21.0,35.0,15.0,25.0,10.0,5.0,10.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0
47,5,5.0,5.0,6.0,5.0,5.0,5.0,6.0,2.0,18.0,0,0,21.0,33.33,11.11,11.11,11.11,11.11,22.22,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0
48,5,5.0,9.0,9.0,9.0,9.0,6.0,7.0,2.0,19.0,1,0,21.0,50.0,0.0,25.0,10.0,0.0,15.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,1
49,5,3.0,10.0,7.0,7.0,10.0,5.0,4.0,2.0,20.0,0,0,21.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0
50,6,7.0,9.0,8.0,9.0,8.0,4.0,7.0,4.0,11.0,0,0,23.0,35.0,20.0,20.0,20.0,0.0,5.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0
51,6,6.0,8.0,10.0,6.0,7.0,6.0,7.0,4.0,12.0,0,0,23.0,60.0,0.0,0.0,40.0,0.0,0.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0
52,6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,13.0,1,0,23.0,19.0,18.0,19.0,18.0,14.0,12.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0
53,6,6.0,8.0,8.0,7.0,9.0,8.0,7.0,4.0,14.0,1,0,23.0,30.0,5.0,15.0,40.0,5.0,5.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,1
54,6,9.0,7.0,9.0,7.0,9.0,6.0,9.0,4.0,15.0,1,0,23.0,30.0,10.0,20.0,10.0,10.0,20.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0
55,6,6.0,6.0,8.0,8.0,8.0,7.0,6.0,4.0,16.0,1,0,23.0,50.0,0.0,30.0,10.0,0.0,10.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0
56,6,5.0,6.0,8.0,4.0,5.0,4.0,3.0,4.0,17.0,0,0,23.0,35.0,15.0,25.0,10.0,5.0,10.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0
57,6,6.0,7.0,8.0,7.0,8.0,5.0,7.0,4.0,18.0,0,0,23.0,33.33,11.11,11.11,11.11,11.11,22.22,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0
58,6,6.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,19.0,1,0,23.0,50.0,0.0,25.0,10.0,0.0,15.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,1
59,6,7.0,10.0,10.0,6.0,10.0,7.0,6.0,4.0,20.0,0,0,23.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0
60,7,7.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,11.0,0,0,22.0,35.0,20.0,20.0,20.0,0.0,5.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0
61,7,7.0,9.0,10.0,6.0,6.0,5.0,8.0,4.0,12.0,1,0,22.0,60.0,0.0,0.0,40.0,0.0,0.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0
62,7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,13.0,1,0,22.0,19.0,18.0,19.0,18.0,14.0,12.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0
63,7,8.0,8.0,9.0,8.0,9.0,9.0,8.0,4.0,14.0,1,0,22.0,30.0,5.0,15.0,40.0,5.0,5.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,1
64,7,8.0,7.0,9.0,6.0,9.0,5.0,8.0,4.0,15.0,1,0,22.0,30.0,10.0,20.0,10.0,10.0,20.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0
65,7,8.0,8.0,8.0,6.0,6.0,6.0,7.0,4.0,16.0,1,0,22.0,50.0,0.0,30.0,10.0,0.0,10.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0
66,7,7.0,6.0,5.0,4.0,4.0,3.0,5.0,4.0,17.0,0,0,22.0,35.0,15.0,25.0,10.0,5.0,10.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0
67,7,8.0,7.0,6.0,7.0,7.0,5.0,7.0,4.0,18.0,1,0,22.0,33.33,11.11,11.11,11.11,11.11,22.22,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0
68,7,9.0,7.0,9.0,9.0,9.0,10.0,9.0,4.0,19.0,1,0,22.0,50.0,0.0,25.0,10.0,0.0,15.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,1
69,7,7.0,6.0,8.0,6.0,8.0,7.0,7.0,4.0,20.0,0,0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0
70,8,8.0,7.0,6.0,6.0,6.0,5.0,7.0,2.0,11.0,0,0,25.0,35.0,20.0,20.0,20.0,0.0,5.0,1.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,0
71,8,8.0,8.0,10.0,7.0,6.0,5.0,9.0,2.0,12.0,1,0,25.0,60.0,0.0,0.0,40.0,0.0,0.0,1.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,1
72,8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,13.0,1,0,25.0,19.0,18.0,19.0,18.0,14.0,12.0,1.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,1
73,8,8.0,8.0,8.0,8.0,8.0,7.0,8.0,2.0,14.0,1,0,25.0,30.0,5.0,15.0,40.0,5.0,5.0,1.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,1
75,8,8.0,7.0,7.0,7.0,8.0,7.0,7.0,2.0,16.0,1,0,25.0,50.0,0.0,30.0,10.0,0.0,10.0,1.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,1
76,8,6.0,4.0,7.0,5.0,6.0,4.0,4.0,2.0,17.0,0,0,25.0,35.0,15.0,25.0,10.0,5.0,10.0,1.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,0
77,8,9.0,8.0,8.0,8.0,7.0,5.0,7.0,2.0,18.0,1,0,25.0,33.33,11.11,11.11,11.11,11.11,22.22,1.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,1
78,8,8.0,7.0,8.0,10.0,8.0,10.0,8.0,2.0,19.0,1,0,25.0,50.0,0.0,25.0,10.0,0.0,15.0,1.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,1
79,8,8.0,10.0,9.0,9.0,8.0,8.0,8.0,2.0,20.0,1,0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,1
80,9,6.0,8.0,7.0,8.0,7.0,5.0,6.0,6.0,11.0,0,0,26.0,35.0,20.0,20.0,20.0,0.0,5.0,1.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,0
81,9,8.0,8.0,10.0,7.0,6.0,5.0,8.0,6.0,12.0,1,0,26.0,60.0,0.0,0.0,40.0,0.0,0.0,1.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,1
82,9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,13.0,1,0,26.0,19.0,18.0,19.0,18.0,14.0,12.0,1.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,1
83,9,7.0,8.0,7.0,8.0,8.0,7.0,7.0,6.0,14.0,1,0,26.0,30.0,5.0,15.0,40.0,5.0,5.0,1.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,1
84,9,7.0,9.0,8.0,9.0,7.0,7.0,7.0,6.0,15.0,1,0,26.0,30.0,10.0,20.0,10.0,10.0,20.0,1.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,1
85,9,6.0,6.0,7.0,8.0,7.0,7.0,6.0,6.0,16.0,1,0,26.0,50.0,0.0,30.0,10.0,0.0,10.0,1.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,1
86,9,8.0,6.0,7.0,8.0,6.0,5.0,8.0,6.0,17.0,1,0,26.0,35.0,15.0,25.0,10.0,5.0,10.0,1.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,1
87,9,7.0,7.0,7.0,7.0,6.0,5.0,7.0,6.0,18.0,0,0,26.0,33.33,11.11,11.11,11.11,11.11,22.22,1.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,0
88,9,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,19.0,1,0,26.0,50.0,0.0,25.0,10.0,0.0,15.0,1.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,1
89,9,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,20.0,0,0,26.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,0
90,10,7.0,8.0,7.0,8.0,6.0,5.0,6.0,2.0,11.0,0,0,26.0,35.0,20.0,20.0,20.0,0.0,5.0,1.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,0
91,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,0,0,26.0,60.0,0.0,0.0,40.0,0.0,0.0,1.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,0
92,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,13.0,1,0,26.0,19.0,18.0,19.0,18.0,14.0,12.0,1.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,1
93,10,7.0,8.0,7.0,9.0,8.0,8.0,7.0,2.0,14.0,1,0,26.0,30.0,5.0,15.0,40.0,5.0,5.0,1.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,0
96,10,7.0,7.0,4.0,3.0,4.0,4.0,3.0,2.0,17.0,0,0,26.0,35.0,15.0,25.0,10.0,5.0,10.0,1.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,0
