﻿Iid,Measure Names,Measure Values
95,Avg. Fun O,5.388888889
95,Avg. Amb O,6.722222222
95,Avg. Shar O,5.0625
96,Avg. Attr O,4.388888889
96,Avg. Sinc O,7.166666667
96,Avg. Intel O,7.388888889
96,Avg. Fun O,5.111111111
96,Avg. Amb O,7
96,Avg. Shar O,4.75
97,Avg. Attr O,7.166666667
97,Avg. Sinc O,7.055555556
97,Avg. Intel O,8.111111111
97,Avg. Fun O,7.058823529
97,Avg. Amb O,7.357142857
97,Avg. Shar O,5.8
98,Avg. Attr O,5.611111111
98,Avg. Sinc O,7.666666667
98,Avg. Intel O,6.944444444
98,Avg. Fun O,4.111111111
98,Avg. Amb O,6.058823529
98,Avg. Shar O,4.352941176
99,Avg. Attr O,7.833333333
99,Avg. Sinc O,7.666666667
99,Avg. Intel O,7.888888889
99,Avg. Fun O,7.5
99,Avg. Amb O,7.647058824
99,Avg. Shar O,7.3125
100,Avg. Attr O,4.555555556
100,Avg. Sinc O,7.944444444
100,Avg. Intel O,8
100,Avg. Fun O,5.823529412
100,Avg. Amb O,7.6
100,Avg. Shar O,5.642857143
101,Avg. Attr O,4
101,Avg. Sinc O,7.611111111
101,Avg. Intel O,7.666666667
101,Avg. Fun O,4.588235294
101,Avg. Amb O,7
101,Avg. Shar O,4.294117647
102,Avg. Attr O,4.111111111
102,Avg. Sinc O,7.176470588
102,Avg. Intel O,7.277777778
102,Avg. Fun O,4.764705882
102,Avg. Amb O,6.25
102,Avg. Shar O,4.277777778
103,Avg. Attr O,6.222222222
103,Avg. Sinc O,7.176470588
103,Avg. Intel O,6.944444444
103,Avg. Fun O,6.4375
103,Avg. Amb O,7.176470588
103,Avg. Shar O,5.133333333
104,Avg. Attr O,6.941176471
104,Avg. Sinc O,6.888888889
104,Avg. Intel O,7.444444444
104,Avg. Fun O,6.888888889
104,Avg. Amb O,7
104,Avg. Shar O,5.8125
105,Avg. Attr O,6.277777778
105,Avg. Sinc O,7.888888889
105,Avg. Intel O,8.166666667
105,Avg. Fun O,8.055555556
105,Avg. Amb O,7.647058824
105,Avg. Shar O,6.588235294
106,Avg. Attr O,5.111111111
106,Avg. Sinc O,7.666666667
106,Avg. Intel O,7.722222222
106,Avg. Fun O,6.647058824
106,Avg. Amb O,6.941176471
106,Avg. Shar O,5
107,Avg. Attr O,6.888888889
107,Avg. Sinc O,8.055555556
107,Avg. Intel O,8
107,Avg. Fun O,8.111111111
107,Avg. Amb O,7.4375
107,Avg. Shar O,7.176470588
108,Avg. Attr O,7.166666667
108,Avg. Sinc O,7
108,Avg. Intel O,7.5
108,Avg. Fun O,6.777777778
108,Avg. Amb O,6.944444444
108,Avg. Shar O,6.111111111
109,Avg. Attr O,5.833333333
109,Avg. Sinc O,7.555555556
109,Avg. Intel O,7.944444444
109,Avg. Fun O,7.222222222
109,Avg. Amb O,7.277777778
109,Avg. Shar O,6.4375
110,Avg. Attr O,5.5
110,Avg. Sinc O,6.411764706
110,Avg. Intel O,7.055555556
110,Avg. Fun O,6.833333333
110,Avg. Amb O,7.235294118
110,Avg. Shar O,5.9375
111,Avg. Attr O,4.777777778
111,Avg. Sinc O,7.222222222
111,Avg. Intel O,7.5
111,Avg. Fun O,6.5
111,Avg. Amb O,7.117647059
111,Avg. Shar O,5.5
122,Avg. Attr O,7.777777778
122,Avg. Sinc O,8.777777778
122,Avg. Intel O,8.222222222
122,Avg. Fun O,8.444444444
122,Avg. Amb O,7.333333333
122,Avg. Shar O,7.5
123,Avg. Attr O,6.375
123,Avg. Sinc O,8.666666667
123,Avg. Intel O,7.222222222
123,Avg. Fun O,5.777777778
123,Avg. Amb O,6.888888889
123,Avg. Shar O,4.333333333
124,Avg. Attr O,3.777777778
124,Avg. Sinc O,5.666666667
124,Avg. Intel O,6.888888889
124,Avg. Fun O,2.625
124,Avg. Amb O,8.444444444
124,Avg. Shar O,1.375
125,Avg. Attr O,8
125,Avg. Sinc O,8.333333333
125,Avg. Intel O,8.555555556
125,Avg. Fun O,8.444444444
125,Avg. Amb O,8.222222222
125,Avg. Shar O,6.777777778
126,Avg. Attr O,6.111111111
126,Avg. Sinc O,8
126,Avg. Intel O,8.555555556
126,Avg. Fun O,6.777777778
126,Avg. Amb O,7.888888889
126,Avg. Shar O,6.375
127,Avg. Attr O,7.333333333
127,Avg. Sinc O,5.888888889
127,Avg. Intel O,6.111111111
127,Avg. Fun O,6.111111111
127,Avg. Amb O,6.111111111
127,Avg. Shar O,5.111111111
128,Avg. Attr O,7.555555556
128,Avg. Sinc O,8.444444444
128,Avg. Intel O,8.125
128,Avg. Fun O,6.875
128,Avg. Amb O,6.625
128,Avg. Shar O,5
129,Avg. Attr O,6.222222222
129,Avg. Sinc O,7.888888889
129,Avg. Intel O,6.222222222
129,Avg. Fun O,6.625
129,Avg. Amb O,6.444444444
129,Avg. Shar O,5.333333333
130,Avg. Attr O,7.333333333
130,Avg. Sinc O,8.777777778
130,Avg. Intel O,7.666666667
130,Avg. Fun O,6.555555556
130,Avg. Amb O,6.777777778
130,Avg. Shar O,4.875
131,Avg. Attr O,4.428571429
131,Avg. Sinc O,7.857142857
131,Avg. Intel O,6.714285714
131,Avg. Fun O,4
131,Avg. Amb O,6.333333333
131,Avg. Shar O,1.428571429
137,Avg. Attr O,7.6
137,Avg. Sinc O,7.6
137,Avg. Intel O,7.25
137,Avg. Fun O,8.5
137,Avg. Amb O,7.5
137,Avg. Shar O,7.6
138,Avg. Attr O,8
138,Avg. Sinc O,8
138,Avg. Intel O,8.6
138,Avg. Fun O,8.25
138,Avg. Amb O,8.25
138,Avg. Shar O,6.8
139,Avg. Attr O,5.6
139,Avg. Sinc O,7
139,Avg. Intel O,7.5
139,Avg. Fun O,5.8
139,Avg. Amb O,7
139,Avg. Shar O,4.8
140,Avg. Attr O,8
140,Avg. Sinc O,8.2
140,Avg. Intel O,8.2
140,Avg. Fun O,8.4
140,Avg. Amb O,8.75
140,Avg. Shar O,7.5
141,Avg. Attr O,5.8
141,Avg. Sinc O,6.75
141,Avg. Intel O,6.75
141,Avg. Fun O,7.2
141,Avg. Amb O,6.8
141,Avg. Shar O,6.25
158,Avg. Attr O,4.5625
158,Avg. Sinc O,6.25
158,Avg. Intel O,7.5
158,Avg. Fun O,4.2
158,Avg. Amb O,6.785714286
158,Avg. Shar O,3.818181818
159,Avg. Attr O,4.125
159,Avg. Sinc O,7.1875
159,Avg. Intel O,8
159,Avg. Fun O,5.875
159,Avg. Amb O,7.166666667
159,Avg. Shar O,4.461538462
160,Avg. Attr O,7.375
160,Avg. Sinc O,7.375
160,Avg. Intel O,7.4375
160,Avg. Fun O,8
160,Avg. Amb O,7.875
160,Avg. Shar O,6.142857143
161,Avg. Attr O,7.75
161,Avg. Sinc O,7.4375
161,Avg. Intel O,8
161,Avg. Fun O,7.8
161,Avg. Amb O,7.285714286
161,Avg. Shar O,6.333333333
162,Avg. Attr O,5.75
162,Avg. Sinc O,6.75
162,Avg. Intel O,7.875
162,Avg. Fun O,5.866666667
162,Avg. Amb O,7.2
162,Avg. Shar O,5.846153846
163,Avg. Attr O,6.875
163,Avg. Sinc O,7.6875
163,Avg. Intel O,7.6875
163,Avg. Fun O,7.25
163,Avg. Amb O,7
163,Avg. Shar O,6.785714286
164,Avg. Attr O,6.6875
164,Avg. Sinc O,7.8125
164,Avg. Intel O,8.125
164,Avg. Fun O,7
164,Avg. Amb O,6.857142857
164,Avg. Shar O,6.333333333
165,Avg. Attr O,7.375
165,Avg. Sinc O,7.0625
165,Avg. Intel O,6.8125
165,Avg. Fun O,5.6
165,Avg. Amb O,5.785714286
165,Avg. Shar O,5.307692308
166,Avg. Attr O,6.875
166,Avg. Sinc O,6.5625
166,Avg. Intel O,7.0625
166,Avg. Fun O,6.3125
166,Avg. Amb O,7.384615385
166,Avg. Shar O,5.75
167,Avg. Attr O,5.9375
167,Avg. Sinc O,6.8125
167,Avg. Intel O,7.4375
167,Avg. Fun O,6.75
167,Avg. Amb O,6.5
167,Avg. Shar O,5.714285714
168,Avg. Attr O,4.875
168,Avg. Sinc O,7.375
168,Avg. Intel O,7.6875
168,Avg. Fun O,6.4
168,Avg. Amb O,6.571428571
168,Avg. Shar O,5.363636364
169,Avg. Attr O,8.0625
169,Avg. Sinc O,8.0625
169,Avg. Intel O,8.375
169,Avg. Fun O,7.6875
169,Avg. Amb O,7.571428571
169,Avg. Shar O,6.928571429
170,Avg. Attr O,4.4375
170,Avg. Sinc O,7.3125
170,Avg. Intel O,8.125
170,Avg. Fun O,5
170,Avg. Amb O,7.642857143
170,Avg. Shar O,5.153846154
171,Avg. Attr O,5.8125
171,Avg. Sinc O,7.75
171,Avg. Intel O,8.1875
171,Avg. Fun O,6
171,Avg. Amb O,7.5
171,Avg. Shar O,5.181818182
172,Avg. Attr O,6.9375
172,Avg. Sinc O,7.9375
172,Avg. Intel O,8.0625
172,Avg. Fun O,7.625
172,Avg. Amb O,8.066666667
172,Avg. Shar O,7.272727273
173,Avg. Attr O,6.125
173,Avg. Sinc O,7.4375
173,Avg. Intel O,8.125
173,Avg. Fun O,7.4375
173,Avg. Amb O,7.285714286
173,Avg. Shar O,6.818181818
184,Avg. Attr O,6.2
184,Avg. Sinc O,7.5
184,Avg. Intel O,7.3
184,Avg. Fun O,6.5
184,Avg. Amb O,7.111111111
184,Avg. Shar O,6.4
185,Avg. Attr O,5
185,Avg. Sinc O,5.8
185,Avg. Intel O,6.2
185,Avg. Fun O,5.4
185,Avg. Amb O,6.333333333
185,Avg. Shar O,4.75
186,Avg. Attr O,5.3
186,Avg. Sinc O,7.3
186,Avg. Intel O,7.6
186,Avg. Fun O,6
186,Avg. Amb O,6.555555556
186,Avg. Shar O,5.888888889
187,Avg. Attr O,4.7
187,Avg. Sinc O,6
187,Avg. Intel O,6.2
187,Avg. Fun O,5.6
187,Avg. Amb O,5.75
187,Avg. Shar O,5.888888889
188,Avg. Attr O,4.4
188,Avg. Sinc O,6.3
188,Avg. Intel O,6.5
188,Avg. Fun O,6.1
188,Avg. Amb O,6.444444444
188,Avg. Shar O,5.333333333
189,Avg. Attr O,5.4
189,Avg. Sinc O,7.2
189,Avg. Intel O,7
189,Avg. Fun O,5.8
189,Avg. Amb O,6.444444444
189,Avg. Shar O,5.777777778
190,Avg. Attr O,6.7
190,Avg. Sinc O,6.5
190,Avg. Intel O,6.9
190,Avg. Fun O,7.9
190,Avg. Amb O,6.7
190,Avg. Shar O,5.777777778
191,Avg. Attr O,6.5
191,Avg. Sinc O,7.2
191,Avg. Intel O,7.2
191,Avg. Fun O,7.2
191,Avg. Amb O,7.5
191,Avg. Shar O,6.444444444
192,Avg. Attr O,6.5
192,Avg. Sinc O,6.5
192,Avg. Intel O,7.2
192,Avg. Fun O,7.5
192,Avg. Amb O,7.111111111
192,Avg. Shar O,7.444444444
193,Avg. Attr O,6.1
193,Avg. Sinc O,7.2
193,Avg. Intel O,7.5
193,Avg. Fun O,7.111111111
193,Avg. Amb O,7.333333333
193,Avg. Shar O,6.444444444
214,Avg. Attr O,5.7
214,Avg. Sinc O,7.45
214,Avg. Intel O,7.7
214,Avg. Fun O,6.631578947
214,Avg. Amb O,7.421052632
214,Avg. Shar O,5.117647059
215,Avg. Attr O,6.9
215,Avg. Sinc O,7.526315789
215,Avg. Intel O,8
215,Avg. Fun O,7.631578947
215,Avg. Amb O,8.3
215,Avg. Shar O,6.722222222
216,Avg. Attr O,3.6
216,Avg. Sinc O,6.55
216,Avg. Intel O,7.05
216,Avg. Fun O,6.15
216,Avg. Amb O,7
216,Avg. Shar O,5
217,Avg. Attr O,7.8
217,Avg. Sinc O,7.789473684
217,Avg. Intel O,9.15
217,Avg. Fun O,6.833333333
217,Avg. Amb O,8.842105263
217,Avg. Shar O,6.625
218,Avg. Attr O,5.4
218,Avg. Sinc O,7.473684211
218,Avg. Intel O,8.055555556
218,Avg. Fun O,5.277777778
218,Avg. Amb O,8.25
218,Avg. Shar O,4.866666667
219,Avg. Attr O,7.4
219,Avg. Sinc O,7.789473684
219,Avg. Intel O,8
219,Avg. Fun O,7.764705882
219,Avg. Amb O,7.764705882
219,Avg. Shar O,7
220,Avg. Attr O,5.25
220,Avg. Sinc O,8.15
220,Avg. Intel O,8.35
220,Avg. Fun O,7.055555556
220,Avg. Amb O,7.789473684
220,Avg. Shar O,6.4375
221,Avg. Attr O,6.05
221,Avg. Sinc O,7.75
221,Avg. Intel O,8.2
221,Avg. Fun O,6.058823529
221,Avg. Amb O,7.25
221,Avg. Shar O,5.733333333
222,Avg. Attr O,3.2
222,Avg. Sinc O,7.444444444
222,Avg. Intel O,8.157894737
222,Avg. Fun O,4.157894737
222,Avg. Amb O,5.833333333
222,Avg. Shar O,4.0625
223,Avg. Attr O,5.35
223,Avg. Sinc O,7.85
223,Avg. Intel O,7.65
223,Avg. Fun O,5.526315789
223,Avg. Amb O,7.222222222
223,Avg. Shar O,5.928571429
224,Avg. Attr O,5.95
224,Avg. Sinc O,8.05
224,Avg. Intel O,8.35
224,Avg. Fun O,6
224,Avg. Amb O,7.647058824
224,Avg. Shar O,6
225,Avg. Attr O,6.1
225,Avg. Sinc O,7.95
225,Avg. Intel O,7.95
225,Avg. Fun O,7.210526316
225,Avg. Amb O,7.65
225,Avg. Shar O,5.5
226,Avg. Attr O,8.6
226,Avg. Sinc O,7.75
226,Avg. Intel O,7.9
226,Avg. Fun O,7.888888889
226,Avg. Amb O,8
226,Avg. Shar O,6.388888889
227,Avg. Attr O,6.95
227,Avg. Sinc O,7.3
227,Avg. Intel O,7.2
227,Avg. Fun O,6.888888889
227,Avg. Amb O,7.473684211
227,Avg. Shar O,5.444444444
228,Avg. Attr O,5.55
228,Avg. Sinc O,8.05
228,Avg. Intel O,8.315789474
228,Avg. Fun O,5.3
228,Avg. Amb O,7.4375
228,Avg. Shar O,4.75
229,Avg. Attr O,7.3
229,Avg. Sinc O,7.210526316
229,Avg. Intel O,8.25
229,Avg. Fun O,7.263157895
229,Avg. Amb O,8.277777778
229,Avg. Shar O,6.125
230,Avg. Attr O,5.7
230,Avg. Sinc O,7
230,Avg. Intel O,6.666666667
230,Avg. Fun O,6.45
230,Avg. Amb O,6.947368421
230,Avg. Shar O,5.647058824
231,Avg. Attr O,5.95
231,Avg. Sinc O,7
231,Avg. Intel O,7.3
231,Avg. Fun O,7.052631579
231,Avg. Amb O,7.588235294
231,Avg. Shar O,5.611111111
232,Avg. Attr O,5
232,Avg. Sinc O,7.789473684
232,Avg. Intel O,7.473684211
232,Avg. Fun O,5.473684211
232,Avg. Amb O,6.882352941
232,Avg. Shar O,5.933333333
233,Avg. Attr O,5.578947368
233,Avg. Sinc O,7.444444444
233,Avg. Intel O,7.578947368
233,Avg. Fun O,6.882352941
233,Avg. Amb O,7.823529412
233,Avg. Shar O,6.1875
243,Avg. Attr O,5.666666667
243,Avg. Sinc O,6.555555556
243,Avg. Intel O,7.444444444
243,Avg. Fun O,5.666666667
243,Avg. Amb O,5.444444444
243,Avg. Shar O,5.222222222
244,Avg. Attr O,6.333333333
244,Avg. Sinc O,7.222222222
244,Avg. Intel O,7
244,Avg. Fun O,6.666666667
244,Avg. Amb O,7.777777778
244,Avg. Shar O,6.111111111
245,Avg. Attr O,4.777777778
245,Avg. Sinc O,6.333333333
245,Avg. Intel O,8.555555556
245,Avg. Fun O,5.777777778
245,Avg. Amb O,7.333333333
245,Avg. Shar O,5.625
246,Avg. Attr O,4.111111111
246,Avg. Sinc O,7.444444444
246,Avg. Intel O,6.444444444
246,Avg. Fun O,5.444444444
246,Avg. Amb O,5.75
246,Avg. Shar O,4.375
247,Avg. Attr O,4
247,Avg. Sinc O,7.666666667
247,Avg. Intel O,7.555555556
247,Avg. Fun O,4.666666667
247,Avg. Amb O,6.333333333
247,Avg. Shar O,4
248,Avg. Attr O,7
248,Avg. Sinc O,6
248,Avg. Intel O,6.666666667
248,Avg. Fun O,7.666666667
248,Avg. Amb O,7.666666667
248,Avg. Shar O,5.444444444
249,Avg. Attr O,4.222222222
249,Avg. Sinc O,6.777777778
249,Avg. Intel O,7.375
249,Avg. Fun O,5.555555556
249,Avg. Amb O,7.888888889
249,Avg. Shar O,4.75
250,Avg. Attr O,6.777777778
250,Avg. Sinc O,6.666666667
250,Avg. Intel O,8
250,Avg. Fun O,6.888888889
250,Avg. Amb O,8.444444444
250,Avg. Shar O,7.666666667
251,Avg. Attr O,4.777777778
251,Avg. Sinc O,7.333333333
251,Avg. Intel O,7.555555556
251,Avg. Fun O,5.555555556
251,Avg. Amb O,5.857142857
251,Avg. Shar O,5.375
273,Avg. Attr O,5.857142857
273,Avg. Sinc O,6.761904762
273,Avg. Intel O,7.476190476
273,Avg. Fun O,5.571428571
273,Avg. Amb O,6.35
273,Avg. Shar O,5
274,Avg. Attr O,5.619047619
274,Avg. Sinc O,6.238095238
274,Avg. Intel O,6.238095238
274,Avg. Fun O,5.857142857
274,Avg. Amb O,6.095238095
274,Avg. Shar O,4.894736842
275,Avg. Attr O,6.285714286
275,Avg. Sinc O,6.476190476
275,Avg. Intel O,7.285714286
275,Avg. Fun O,5.238095238
275,Avg. Amb O,6.7
275,Avg. Shar O,4.947368421
276,Avg. Attr O,5.80952381
276,Avg. Sinc O,6.476190476
276,Avg. Intel O,7.428571429
276,Avg. Fun O,6.238095238
276,Avg. Amb O,6.142857143
276,Avg. Shar O,5.285714286
277,Avg. Attr O,6.523809524
277,Avg. Sinc O,6.380952381
277,Avg. Intel O,7.19047619
277,Avg. Fun O,6.333333333
277,Avg. Amb O,6.45
277,Avg. Shar O,5.6
278,Avg. Attr O,4.476190476
278,Avg. Sinc O,6.19047619
278,Avg. Intel O,7
278,Avg. Fun O,5.142857143
278,Avg. Amb O,6.523809524
278,Avg. Shar O,4
279,Avg. Attr O,7.023809524
279,Avg. Sinc O,6.380952381
279,Avg. Intel O,7.380952381
279,Avg. Fun O,6.428571429
279,Avg. Amb O,6.904761905
279,Avg. Shar O,5.35
280,Avg. Attr O,4.857142857
280,Avg. Sinc O,7.142857143
280,Avg. Intel O,7.952380952
280,Avg. Fun O,5.428571429
280,Avg. Amb O,6.105263158
280,Avg. Shar O,5.25
281,Avg. Attr O,5.523809524
281,Avg. Sinc O,5.904761905
281,Avg. Intel O,7.619047619
281,Avg. Fun O,4.619047619
281,Avg. Amb O,5.95
281,Avg. Shar O,5.238095238
282,Avg. Attr O,6.476190476
282,Avg. Sinc O,7.047619048
282,Avg. Intel O,6.857142857
282,Avg. Fun O,7.142857143
282,Avg. Amb O,6.3
282,Avg. Shar O,5.315789474
283,Avg. Attr O,5.1
283,Avg. Sinc O,7.2
283,Avg. Intel O,7.1
283,Avg. Fun O,5.7
283,Avg. Amb O,6.2
283,Avg. Shar O,4.444444444
284,Avg. Attr O,5.80952381
284,Avg. Sinc O,6.761904762
284,Avg. Intel O,7.047619048
284,Avg. Fun O,5.952380952
284,Avg. Amb O,6.1
284,Avg. Shar O,4.75
285,Avg. Attr O,4.571428571
285,Avg. Sinc O,6.714285714
285,Avg. Intel O,7
285,Avg. Fun O,4.619047619
285,Avg. Amb O,6.142857143
285,Avg. Shar O,4.476190476
286,Avg. Attr O,4.80952381
286,Avg. Sinc O,6.714285714
286,Avg. Intel O,6.904761905
286,Avg. Fun O,5.047619048
286,Avg. Amb O,6.1
286,Avg. Shar O,4.333333333
287,Avg. Attr O,4.35
287,Avg. Sinc O,4.85
287,Avg. Intel O,6.15
287,Avg. Fun O,4.2
287,Avg. Amb O,6.05
287,Avg. Shar O,4.052631579
288,Avg. Attr O,6
288,Avg. Sinc O,6.80952381
288,Avg. Intel O,7.095238095
288,Avg. Fun O,6.142857143
288,Avg. Amb O,6.55
288,Avg. Shar O,5.277777778
289,Avg. Attr O,6.095238095
289,Avg. Sinc O,7.047619048
289,Avg. Intel O,7.19047619
289,Avg. Fun O,7.380952381
289,Avg. Amb O,6.65
289,Avg. Shar O,4.944444444
290,Avg. Attr O,6.571428571
290,Avg. Sinc O,6.333333333
290,Avg. Intel O,7.523809524
290,Avg. Fun O,5.380952381
290,Avg. Amb O,6.380952381
290,Avg. Shar O,4.9
291,Avg. Attr O,5.095238095
291,Avg. Sinc O,7.095238095
291,Avg. Intel O,8.142857143
291,Avg. Fun O,6.095238095
291,Avg. Amb O,7.857142857
291,Avg. Shar O,5.238095238
292,Avg. Attr O,7.333333333
292,Avg. Sinc O,6.952380952
292,Avg. Intel O,7.380952381
292,Avg. Fun O,6.619047619
292,Avg. Amb O,7.047619048
292,Avg. Shar O,4.842105263
